Quant. Elementos;Insertion Sort Comp;Insertion Sort Tempo;Insertion Sort Rec Comp;Insertion Sort Rec Tempo;Selection Sort Comp;Selection Sort Tempo;Selection Sort Rec Comp;Selection Sort Rec Tempo;Merge Sort Rec Comp;Merge Sort Rec Tempo;
25000;317261;1.569396;317261;3.194987;312487500;0.732059;312487500;0.732979;178756;0.002369;
50000;684495;6.262349;684495;13.515856;1249975000;2.923197;1249975000;2.940834;382512;0.005877;
75000;1068961;23.657443;1068961;30.457505;2812462500;6.577871;2812462500;6.625788;594612;0.008955;
100000;1468961;47.524075;1468961;54.200636;4999950000;11.692924;4999950000;11.767035;815024;0.012651;
125000;1868961;78.199609;-1;-1;7812437500;18.280126;-1;-1;1048124;0.015792;
150000;2287891;115.681547;-1;-1;11249925000;26.325574;-1;-1;1264224;0.019648;
175000;2712891;159.951234;-1;-1;15312412500;35.822236;-1;-1;1487772;0.021063;
200000;3137891;210.980536;-1;-1;19999900000;46.787042;-1;-1;1730048;0.025969;
225000;3562891;268.803613;-1;-1;25312387500;59.213762;-1;-1;1966796;0.032164;
250000;3987891;333.527516;-1;-1;31249875000;73.121886;-1;-1;2221248;0.037244;
275000;4425749;404.994366;-1;-1;37812362500;88.472379;-1;-1;2457724;0.039225;
300000;4875749;483.282726;-1;-1;44999850000;105.281160;-1;-1;2678448;0.042890;
325000;5325749;568.349814;-1;-1;52812337500;123.556029;-1;-1;2918284;0.045729;
350000;5775749;660.341302;-1;-1;61249825000;143.286822;-1;-1;3150544;0.049014;
375000;6225749;759.086540;-1;-1;70312312500;164.511088;-1;-1;3402804;0.056555;
400000;6675749;864.581715;-1;-1;79999800000;187.170516;-1;-1;3660096;0.059728;
425000;7125749;976.864352;-1;-1;90312287500;211.367798;-1;-1;3903868;0.064094;
450000;7575749;1096.126487;-1;-1;101249775000;237.014250;-1;-1;4158592;0.063554;
475000;8025749;1221.975983;-1;-1;112812262500;264.166573;-1;-1;4421836;0.066658;
500000;8475749;1354.742220;-1;-1;124999750000;292.595526;-1;-1;4692496;0.071396;
